--------------------
BDMEP - INMET
--------------------
Estação           : BOM JESUS DA LAPA - BA (OMM: 83288)
Latitude  (graus) : -13.26
Longitude (graus) : -43.41
Altitude  (metros): 439.96
Estação Operante
Inicio de operação: 01/11/1941
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Umidade Relativa Media;Velocidade do Vento Media;
83288;29/10/1969;0000;;36.2;;11.6;9.5;38.5;2.666667;
83288;29/10/1969;1200;0;;19.6;;;;;
83288;30/10/1969;0000;;35;;8.8;9.5;52.5;4;
83288;30/10/1969;1200;0;;21.9;;;;;
83288;31/10/1969;0000;;34.2;;4.4;7.6;62.5;1.666667;
83288;31/10/1969;1200;0;;21.5;;;;;
83288;01/11/1969;0000;;36.3;;8;6.5;43.75;1.666667;
83288;01/11/1969;1200;0;;22.8;;;;;
83288;02/11/1969;0000;;35.1;;9.9;6.9;50.25;3.333333;
83288;02/11/1969;1200;0;;21.9;;;;;
83288;03/11/1969;0000;;37.9;;9.9;8.2;43.75;2.666667;
83288;03/11/1969;1200;0;;22.1;;;;;
83288;04/11/1969;0000;;31.4;;7.7;6.2;65.75;0.666667;
83288;04/11/1969;1200;12.6;;21.6;;;;;
83288;05/11/1969;0000;;35;;8.2;4.9;56.25;0.666667;
83288;05/11/1969;1200;0;;22.8;;;;;
83288;06/11/1969;0000;;35;;9.1;5.8;59.75;1;
83288;06/11/1969;1200;2.6;;21.9;;;;;
83288;07/11/1969;0000;;34.8;;11.1;4.8;47.75;1.666667;
83288;07/11/1969;1200;0;;20.8;;;;;
83288;08/11/1969;0000;;36.8;;12;7.3;37.25;0.666667;
83288;08/11/1969;1200;0;;20.6;;;;;
83288;09/11/1969;0000;;34.5;;5.8;9.6;37;0.666667;
83288;09/11/1969;1200;0;;20.1;;;;;
83288;10/11/1969;0000;;35.7;;4.3;9.5;62;0.333333;
83288;10/11/1969;1200;0;;22.8;;;;;
83288;11/11/1969;0000;;29.2;;3.8;5.5;85;1.333333;
83288;11/11/1969;1200;16.3;;20.8;;;;;
83288;12/11/1969;0000;;32.5;;10.6;2;61.5;1.666667;
83288;12/11/1969;1200;4.7;;20.6;;;;;
83288;13/11/1969;0000;;32.2;;8.5;4.7;46.25;2;
83288;13/11/1969;1200;0;;24.2;;;;;
83288;14/11/1969;0000;;34.6;;9.8;4.3;59.5;1.666667;
83288;14/11/1969;1200;0;;19.2;;;;;
83288;15/11/1969;0000;;27.1;;0.7;5;84;3.333333;
83288;15/11/1969;1200;5.6;;20.6;;;;;
83288;16/11/1969;0000;;33;;8.7;0.6;67.25;1;
83288;16/11/1969;1200;2.5;;20.4;;;;;
83288;17/11/1969;0000;;32.9;;8.9;4.9;64.75;2.333333;
83288;17/11/1969;1200;2.1;;21.7;;;;;
83288;18/11/1969;0000;;33.6;;10.4;5.2;37.5;0.666667;
83288;18/11/1969;1200;0;;20;;;;;
83288;19/11/1969;0000;;34.6;;11.4;7.1;28.5;1.666667;
83288;19/11/1969;1200;0;;18.4;;;;;
83288;20/11/1969;0000;;34.8;;12.2;7.9;40;1.333333;
83288;20/11/1969;1200;0;;18.4;;;;;
83288;21/11/1969;0000;;34.7;;12.2;6.8;29.25;2.666667;
