--------------------
BDMEP - INMET
--------------------
Estação           : CARACOL - PI (OMM: 82976)
Latitude  (graus) : -9.28
Longitude (graus) : -43.33
Altitude  (metros): 522.77
Estação Operante
Inicio de operação: 03/10/1975
Periodo solicitado dos dados: 01/01/1960 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Umidade Relativa Media;Velocidade do Vento Media;
82976;19/11/1975;1200;0;;16.4;;;;;
82976;20/11/1975;0000;;34;;11.9;9.9;43.5;3.533333;
82976;20/11/1975;1200;0;;12.8;;;;;
82976;21/11/1975;0000;;34.6;;11.1;13;49;2.9;
82976;21/11/1975;1200;0;;17.6;;;;;
82976;22/11/1975;0000;;35.2;;11.6;10.4;45.25;2.3;
82976;22/11/1975;1200;0;;19.4;;;;;
82976;23/11/1975;0000;;34.4;;8.2;11.9;55;3.366667;
82976;23/11/1975;1200;0;;21;;;;;
82976;24/11/1975;0000;;33.8;;6.5;9.5;62.75;2.3;
82976;24/11/1975;1200;0;;21.8;;;;;
82976;25/11/1975;0000;;32;;2.5;7.2;60.5;1.433333;
82976;25/11/1975;1200;0;;20.2;;;;;
82976;26/11/1975;0000;;33.8;;7.8;7.8;56.25;3.533333;
82976;26/11/1975;1200;0;;19;;;;;
82976;27/11/1975;0000;;33;;10.5;10.9;70;3.4;
82976;27/11/1975;1200;0;;18.8;;;;;
82976;28/11/1975;0000;;23.8;;0;6;91.5;0.866667;
82976;28/11/1975;1200;14.6;;19.4;;;;;
82976;29/11/1975;0000;;31;;6.2;1.3;68;2.8;
82976;29/11/1975;1200;0;;19.8;;;;;
82976;30/11/1975;0000;;31.4;;2.7;6.1;72.5;2.366667;
82976;30/11/1975;1200;5;;19.8;;;;;
82976;01/12/1975;0000;;33.8;;10.4;4;64.75;2.3;
82976;01/12/1975;1200;0;;19.6;;;;;
82976;02/12/1975;0000;;32.8;;5.3;8.3;66;1.766667;
82976;02/12/1975;1200;0;;21.4;;;;;
82976;03/12/1975;0000;;27.4;;0;6.2;71.75;2.033333;
82976;03/12/1975;1200;4.7;;19.6;;;;;
82976;04/12/1975;0000;;30.6;;5.9;9.7;71.5;1.766667;
82976;04/12/1975;1200;0;;18.6;;;;;
82976;05/12/1975;0000;;31.6;;6.9;5.2;68.5;3;
82976;05/12/1975;1200;0;;20.4;;;;;
82976;06/12/1975;0000;;32.4;;5.4;7.3;72.75;3.7;
82976;06/12/1975;1200;0;;20.4;;;;;
82976;07/12/1975;0000;;27.2;;2.8;5.8;84.75;1.966667;
82976;07/12/1975;1200;27.1;;19.8;;;;;
82976;08/12/1975;0000;;32.2;;10.8;2.2;69.25;2.866667;
82976;08/12/1975;1200;0;;20;;;;;
82976;09/12/1975;0000;;32.8;;11.4;8.2;55.5;2.533333;
82976;09/12/1975;1200;0;;18;;;;;
82976;10/12/1975;0000;;31.8;;10;6.9;59;2.333333;
82976;10/12/1975;1200;0;;18.6;;;;;
82976;11/12/1975;0000;;34.8;;11;6;52.75;2.433333;
82976;11/12/1975;1200;0;;20.2;;;;;
82976;12/12/1975;0000;;33;;11.6;7.8;55.75;2.566667;
82976;12/12/1975;1200;0;;20.6;;;;;
82976;13/12/1975;0000;;33.4;;8.3;8.1;60.5;3.1;
82976;13/12/1975;1200;0;;20.6;;;;;
82976;14/12/1975;0000;;32;;3;7;76;2.5;
82976;14/12/1975;1200;0;;20;;;;;
82976;15/12/1975;0000;;29.8;;1.5;3.8;86.25;1.033333;
82976;15/12/1975;1200;0;;20.2;;;;;
82976;16/12/1975;0000;;28.4;;2.8;1.5;83.75;1.433333;
82976;16/12/1975;1200;18.3;;20.4;;;;;
82976;17/12/1975;0000;;32.6;;10.7;4.3;61;3.533333;
82976;17/12/1975;1200;0;;19.2;;;;;
82976;18/12/1975;0000;;31.6;;4.9;11.5;63.25;2.433333;
82976;18/12/1975;1200;0;;20.2;;;;;
